"Response ID","Date submitted","Last page","Start language","Seed","Rust is important to my work or projects (1 disagree - 5 agree)","Rust will become more important in my work or projects in the future.  (1 disagree - 5 agree)","Rust will become more important to other developers and projects in the future (1 disagree - 5 agree)","I develop software using Rust","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [MacOS]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Windows]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Linux (Fedora, OpenSUSE, Ubuntu, Arch, etc)]","As a developer, I use Rust on the following platforms while programming. Choose all that apply. [Other Platform]","On your primary development platform, how did you install your Rust toolchain?","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Integrated Development Environments with Language Features (syntax highlight, errors, completion, type checking)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Debugging tools (lldb, gdb)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Online Documentation (doc.rust-lang.org, docs.rs)]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Offline Documentation (local) ]","The following features or tools are important in my development environment (do not use 1 - use a lot 5).  [Build Caching (sccache)]","Do you run, provide, distribute or deploy Rust software?","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Linux]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [MacOS]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Windows]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Rust Library - No specific target (crates.io)]","Which platforms (operating systems) do you target for Rust software. Check all that apply. [Other]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Local use only (cargo build / cargo run)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using rustup inside the builder]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Containers, using a packaged rust (dnf, zypper, apt, pacman, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Packaged for a package manager (rpm, deb, brew, msi, pkg, dmg, etc)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Provided as a library (source, crates.io)]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Other Process]","How do you or your team/community build or provide Rust software for people to use? Think about your build pipeline or deployment processes for this question. [Unknown]","In your release process, how do you manage your Rust dependencies?","In your ideal workflow, how would you prefer to manager your Rust dependencies? ","How do you manage security updates in your Rust dependencies? [Security scanners (e.g. cargo audit)]","How do you manage security updates in your Rust dependencies? [Frequent update of all dependencies (e.g. cargo outdated)]","How do you manage security updates in your Rust dependencies? [Don't actively follow security issues in dependencies]","How do you manage security updates in your Rust dependencies? [Rely on external source to manage (ie distribution packaged rust libraries)]","How do you manage security updates in your Rust dependencies? [Unknown]"
"3","","","en","1794624899","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"6","1980-01-01 00:00:00","3","en","1209200880","5","5","5","Yes","Yes","No","Yes","No","rustup","5","","5","3","5","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","Yes","No"
"9","1980-01-01 00:00:00","3","en","1054445787","5","3","5","Yes","Yes","Yes","Yes","No","rustup","5","1","5","1","3","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Online download from crates.io","Online download from crates.io","Yes","No","No","No","No"
"12","1980-01-01 00:00:00","3","en","479390115","5","5","5","Yes","Yes","No","Yes","No","rustup","1","5","5","4","5","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Vendoring (bundled)","Satisfied with my existing process","Yes","Yes","No","No","No"
"15","1980-01-01 00:00:00","3","en","124399811","3","3","2","Yes","No","No","Yes","No","rustup","2","4","5","1","3","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"18","1980-01-01 00:00:00","3","en","2093380039","5","5","5","Yes","Yes","No","No","No","rustup","5","1","5","1","5","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","No","Yes","No"
"21","1980-01-01 00:00:00","3","en","501904583","5","5","5","Yes","No","No","Yes","No","rustup","5","4","5","2","2","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","Vendoring (bundled)","Vendoring (bundled)","Yes","Yes","No","No","No"
"24","1980-01-01 00:00:00","3","en","1854688614","5","5","4","Yes","No","No","Yes","No","rustup","5","5","5","2","5","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"27","1980-01-01 00:00:00","3","en","357990609","4","4","5","Yes","No","Yes","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","3","4","4","4","3","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","No","Yes","No","No","No"
"30","","","en","1502441698","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"33","1980-01-01 00:00:00","3","en","2076101516","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","3","4","2","1","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","No","No","No","No","Yes"
"36","","","en","1325042243","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"39","1980-01-01 00:00:00","3","en","1920287938","3","3","4","Yes","No","No","Yes","No","Package Manager (dnf, apt, brew, zypper, etc)","3","3","5","4","3","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Package Manager provided libraries","Package Manager provided libraries","No","Yes","No","No","Yes"
"42","1980-01-01 00:00:00","3","en","1713305353","4","5","4","Yes","No","No","Yes","No","rustup","5","2","5","2","2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","No","No","No","No"
"45","1980-01-01 00:00:00","3","en","900432816","1","1","4","No","N/A","N/A","N/A","N/A","","","","","","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"48","","","en","2085304474","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"51","1980-01-01 00:00:00","3","en","1281189903","4","5","4","Yes","Yes","No","Yes","No","rustup","4","2","5","3","2","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Online download from crates.io","Satisfied with my existing process","Yes","Yes","No","No","No"
"54","","","en","816169336","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"57","1980-01-01 00:00:00","3","en","1682280597","5","5","5","Yes","Yes","Yes","Yes","No","rustup","5","1","5","3","3","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"60","1980-01-01 00:00:00","3","en","1498767246","4","3","4","Yes","Yes","Yes","Yes","No","rustup","4","3","5","1","1","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Online download from crates.io","Online download from crates.io","Yes","No","No","No","No"
"63","1980-01-01 00:00:00","3","en","591707599","2","4","5","Yes","No","No","Yes","Yes","rustup","4","4","5","1","2","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Online download from crates.io","Online download from crates.io","No","Yes","No","No","No"
"66","1980-01-01 00:00:00","3","en","2037690694","5","5","5","Yes","No","Yes","Yes","No","rustup","5","1","5","1","1","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No"
"69","1980-01-01 00:00:00","3","en","2127822578","5","5","5","Yes","No","Yes","No","No","rustup","5","3","5","1","3","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","","","N/A","N/A","N/A","N/A","N/A"
"72","1980-01-01 00:00:00","3","en","579919187","5","5","5","Yes","No","No","Yes","No","rustup","1","4","2","4","5","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","Vendoring (bundled)","Unsure","No","No","Yes","No","No"
"75","","2","en","1060012271","1","2","5","No","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
"78","","","en","218313789","","","","","N/A","N/A","N/A","N/A","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A"
